id,method,img_name,parameters,AMI,ARI,F,accuracy,time
0,IteratedWatershed,0677845-r1-067-32_a,nCluster=2repeat=0,0.004116565904505346,-0.02992070734662826,0.7239434375257633,0.8808235294117647,1.2615993022918701
1,IteratedWatershed,0677845-r1-067-32_a,nCluster=2repeat=1,0.18540757772268004,0.3343863114626229,0.906280807483193,0.910921568627451,2.1883785724639893
2,IteratedWatershed,0677845-r1-067-32_a,nCluster=2repeat=2,0.0047821730670824045,-0.022251438294413964,0.660530000243292,0.8808235294117647,3.505594491958618
3,IteratedWatershed,0677845-r1-067-32_a,nCluster=2repeat=3,0.0076404988902984555,0.01667770624651691,0.8836615132983234,0.8821372549019608,1.4150445461273193
4,IteratedWatershed,0677845-r1-067-32_a,nCluster=2repeat=4,0.07197534600938124,0.19531290878352234,0.8821097537469474,0.8844313725490196,2.139695167541504
5,IteratedWatershed,0677845-r1-067-32_a,nCluster=2repeat=5,0.00737136784828126,0.016852415874671827,0.8836371068954363,0.8821176470588236,2.8114840984344482
6,IteratedWatershed,0677845-r1-067-32_a,nCluster=2repeat=6,0.06648813773079697,0.13532784047789506,0.8910321534697134,0.8920196078431373,2.1492080688476562
7,IteratedWatershed,0677845-r1-067-32_a,nCluster=2repeat=7,0.07806037235521061,0.15689466810946232,0.8924975659629705,0.893921568627451,1.4445815086364746
8,IteratedWatershed,0677845-r1-067-32_a,nCluster=2repeat=8,0.0043855173517943075,-0.030849228179780207,0.7220261370665727,0.8808235294117647,14.228043794631958
9,IteratedWatershed,0677845-r1-067-32_a,nCluster=2repeat=9,0.0037438371831885727,0.008242768959375958,0.8831788610890565,0.8814705882352941,1.4416863918304443
10,IteratedWatershed,0677845-r1-067-32_a,nCluster=2repeat=10,0.05410728290454568,-0.09936546344589607,0.7439347082809,0.8808235294117647,3.5315279960632324
11,IteratedWatershed,0677845-r1-067-32_a,nCluster=2repeat=11,0.024823621154426722,0.11369107934843559,0.7780908204804685,0.8808235294117647,2.8616690635681152
12,IteratedWatershed,0677845-r1-067-32_a,nCluster=2repeat=12,0.17302507256962613,0.31576220035415936,0.9046768111467921,0.9090196078431373,1.4190080165863037
13,IteratedWatershed,0677845-r1-067-32_a,nCluster=2repeat=13,0.0043855173517943075,-0.030849228179780207,0.7220261370665727,0.8808235294117647,14.253469228744507
14,IteratedWatershed,0677845-r1-067-32_a,nCluster=2repeat=14,0.006920990276912997,0.024814538009964835,0.8819750706269389,0.8808235294117647,2.863025665283203
15,IteratedWatershed,0677845-r1-067-32_a,nCluster=2repeat=15,0.0544865534031929,-0.09954445297083325,0.7421035235204835,0.8808235294117647,5.676817417144775
16,IteratedWatershed,0677845-r1-067-32_a,nCluster=2repeat=16,0.0028570695334480863,0.016154702195092352,0.6378355610001125,0.8808235294117647,4.272936105728149
17,IteratedWatershed,0677845-r1-067-32_a,nCluster=2repeat=17,0.0027520520779007332,0.026863417415515987,0.6867854168350521,0.8808235294117647,3.531914234161377
18,IteratedWatershed,0677845-r1-067-32_a,nCluster=2repeat=18,0.18540757772268004,0.3343863114626229,0.906280807483193,0.910921568627451,2.1774237155914307
19,IteratedWatershed,0677845-r1-067-32_a,nCluster=2repeat=19,0.000768341034008598,-0.01094182223683556,0.7441742684507617,0.8808235294117647,2.1798095703125
20,SpectralClustering,0677845-r1-067-32_a,nCluster=2beta=1.0,0.024747989274981154,-0.0018808956104951816,0.27990162573796523,0.8808235294117647,2.0870747566223145
21,SpectralClustering,0677845-r1-067-32_a,nCluster=2beta=2.0,0.025170057442501958,0.000387230138167066,0.27962707628923705,0.8808235294117647,2.322934150695801
22,SpectralClustering,0677845-r1-067-32_a,nCluster=2beta=3.0,0.01293664206185565,-0.0006863141306113909,0.3825545510984682,0.881,2.1578638553619385
23,SpectralClustering,0677845-r1-067-32_a,nCluster=2beta=5.0,0.002257731850508967,0.00525154212116646,0.883008866601548,0.881235294117647,1.5409798622131348
24,IsoFull,0677845-r1-067-32_a,beta=1.0,0.0015206358093401956,0.002689050691910139,0.6137985218605414,0.8808235294117647,0.6323292255401611
25,IsoFull,0677845-r1-067-32_a,beta=2.0,0.00613348031116542,-0.0010120021500820053,0.6129391303398019,0.8808235294117647,0.6325480937957764
