id,city,method,nClust,rep,cost
0,Mumbai,IteratedWatershed,3,0,74927.55365666118
1,Mumbai,KMeans,3,0,81918.98653230807
2,Mumbai,KCenters,3,0,138743.05465241696
0,Mumbai,IteratedWatershed,3,1,72065.43066509072
1,Mumbai,KMeans,3,1,81918.98653230807
2,Mumbai,KCenters,3,1,126753.02247872365
0,Mumbai,IteratedWatershed,3,2,74515.98397766745
1,Mumbai,KMeans,3,2,88899.90560621631
2,Mumbai,KCenters,3,2,105022.56651936015
0,Mumbai,IteratedWatershed,3,3,79362.41445409431
1,Mumbai,KMeans,3,3,88899.90560621631
2,Mumbai,KCenters,3,3,128120.05510623465
0,Mumbai,IteratedWatershed,3,4,74348.37637881616
1,Mumbai,KMeans,3,4,81918.98653230807
2,Mumbai,KCenters,3,4,147125.2493111086
0,Mumbai,IteratedWatershed,3,5,74927.55365666118
1,Mumbai,KMeans,3,5,78660.29120450912
2,Mumbai,KCenters,3,5,117892.77722897517
0,Mumbai,IteratedWatershed,3,6,74515.98397766745
1,Mumbai,KMeans,3,6,78660.29120450912
2,Mumbai,KCenters,3,6,139371.37143447416
0,Mumbai,IteratedWatershed,3,7,75623.27371762115
1,Mumbai,KMeans,3,7,88899.90560621631
2,Mumbai,KCenters,3,7,127597.8345749614
0,Mumbai,IteratedWatershed,3,8,84449.7575181434
1,Mumbai,KMeans,3,8,88899.90560621631
2,Mumbai,KCenters,3,8,131424.96604757183
0,Mumbai,IteratedWatershed,3,9,74309.04715755471
1,Mumbai,KMeans,3,9,81918.98653230807
2,Mumbai,KCenters,3,9,118457.8355741206
0,Mumbai,IteratedWatershed,3,10,74927.55365666118
1,Mumbai,KMeans,3,10,88861.97337300687
2,Mumbai,KCenters,3,10,130652.24847865906
0,Mumbai,IteratedWatershed,3,11,74515.98397766745
1,Mumbai,KMeans,3,11,92691.09205953567
2,Mumbai,KCenters,3,11,145346.60018605532
0,Mumbai,IteratedWatershed,3,12,74131.76368787458
1,Mumbai,KMeans,3,12,81918.98653230807
2,Mumbai,KCenters,3,12,146158.6472374212
0,Mumbai,IteratedWatershed,3,13,74515.98397766745
1,Mumbai,KMeans,3,13,88899.90560621631
2,Mumbai,KCenters,3,13,106484.7676865008
0,Mumbai,IteratedWatershed,3,14,85333.01110439554
1,Mumbai,KMeans,3,14,86463.96407357899
2,Mumbai,KCenters,3,14,108037.11934061856
0,Mumbai,IteratedWatershed,3,15,74515.98397766745
1,Mumbai,KMeans,3,15,78660.29120450912
2,Mumbai,KCenters,3,15,170682.5005731362
0,Mumbai,IteratedWatershed,3,16,72065.43066509072
1,Mumbai,KMeans,3,16,81918.98653230807
2,Mumbai,KCenters,3,16,131501.0522914584
0,Mumbai,IteratedWatershed,3,17,74421.16144868497
1,Mumbai,KMeans,3,17,88899.90560621631
2,Mumbai,KCenters,3,17,130912.79748035813
0,Mumbai,IteratedWatershed,3,18,74515.98397766745
1,Mumbai,KMeans,3,18,92691.09205953567
